--Inicio de ejecucion--
INFO- 02/05/2015   18:06:18 -INFO
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Inicio configuracion
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Configuracion inicial
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Recepcionistas cantidad: 2
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Cocineras cantidad: 2
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Cadetas cantidad: 3
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Hornos cantidad: 9
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Configuracion exitosa
02/05/2015   18:06:18-File: concu_zappi.cpp INFO: Inicia recepcion de pedidos
02/05/2015   18:06:23-File: concu_zappi.cpp INFO: Pedido aceptado: Grande de muzza
02/05/2015   18:06:30-File: concu_zappi.cpp INFO: Pedido aceptado: Chica de peperoni
02/05/2015   18:06:38-File: concu_zappi.cpp WAR: Pedido rechazado: Gorda de mierda [Telefono ocupado]
02/05/2015   18:06:38-File: concu_zappi.cpp INFO: Cerrada recepcion de pedidos
INFO- 02/05/2015   18:06:38 -INFO
--Fin de ejecucion--
